"Month","Lenex corporation: shipment of dimonds Jan?67-Dec?71"
"1967-01",100
"1967-02",0
"1967-03",250
"1967-04",50
"1967-05",33
"1967-06",0
"1967-07",0
"1967-08",420
"1967-09",123
"1967-10",85
"1967-11",9
"1967-12",3
"1968-01",0
"1968-02",220
"1968-03",0
"1968-04",0
"1968-05",389
"1968-06",147
"1968-07",85
"1968-08",0
"1968-09",25
"1968-10",0
"1968-11",125
"1968-12",25
"1969-01",29
"1969-02",0
"1969-03",80
"1969-04",387
"1969-05",302
"1969-06",258
"1969-07",0
"1969-08",0
"1969-09",0
"1969-10",0
"1969-11",65
"1969-12",0
"1970-01",35
"1970-02",45
"1970-03",285
"1970-04",0
"1970-05",0
"1970-06",0
"1970-07",28
"1970-08",163
"1970-09",0
"1970-10",0
"1970-11",94
"1970-12",0
"1971-01",0
"1971-02",0
"1971-03",152
"1971-04",102
"1971-05",35
"1971-06",98
"1971-07",0
"1971-08",169
"1971-09",107
"1971-10",0
"1971-11",35
"1971-12",10

Lenex corporation: shipment of dimonds Jan?67-Dec?71

