"Month","Lenex corporation: shipment of radios Jan?67-Dec?71 (12F4.0)"
"1967-01",700
"1967-02",760
"1967-03",770
"1967-04",800
"1967-05",720
"1967-06",740
"1967-07",760
"1967-08",820
"1967-09",700
"1967-10",710
"1967-11",730
"1967-12",740
"1968-01",810
"1968-02",810
"1968-03",820
"1968-04",720
"1968-05",750
"1968-06",750
"1968-07",780
"1968-08",810
"1968-09",780
"1968-10",810
"1968-11",820
"1968-12",850
"1969-01",820
"1969-02",790
"1969-03",840
"1969-04",760
"1969-05",760
"1969-06",880
"1969-07",880
"1969-08",850
"1969-09",860
"1969-10",890
"1969-11",880
"1969-12",840
"1970-01",920
"1970-02",840
"1970-03",770
"1970-04",930
"1970-05",910
"1970-06",820
"1970-07",770
"1970-08",870
"1970-09",880
"1970-10",940
"1970-11",880
"1970-12",820
"1971-01",900
"1971-02",810
"1971-03",820
"1971-04",820
"1971-05",860
"1971-06",810
"1971-07",960
"1971-08",830
"1971-09",860
"1971-10",880
"1971-11",860
"1971-12",900
