"Month","Mean maximum temperature in Melbourne: degrees C. Jan 71 ? Dec 90."
"1971-01",26.0
"1971-02",28.0
"1971-03",25.7
"1971-04",21.9
"1971-05",16.4
"1971-06",14.1
"1971-07",13.6
"1971-08",14.5
"1971-09",16.7
"1971-10",18.6
"1971-11",19.5
"1971-12",24.5
"1972-01",25.1
"1972-02",27.0
"1972-03",23.5
"1972-04",20.5
"1972-05",18.2
"1972-06",14.2
"1972-07",14.0
"1972-08",15.6
"1972-09",19.3
"1972-10",19.8
"1972-11",20.7
"1972-12",25.3
"1973-01",26.9
"1973-02",26.1
"1973-03",21.6
"1973-04",21.0
"1973-05",16.7
"1973-06",13.7
"1973-07",13.3
"1973-08",14.5
"1973-09",18.1
"1973-10",20.3
"1973-11",19.9
"1973-12",25.2
"1974-01",28.6
"1974-02",25.4
"1974-03",26.0
"1974-04",19.2
"1974-05",17.8
"1974-06",14.5
"1974-07",13.8
"1974-08",14.5
"1974-09",15.8
"1974-10",18.4
"1974-11",19.8
"1974-12",23.1
"1975-01",23.9
"1975-02",26.8
"1975-03",22.9
"1975-04",19.2
"1975-05",18.1
"1975-06",13.9
"1975-07",15.7
"1975-08",14.0
"1975-09",17.7
"1975-10",18.7
"1975-11",22.5
"1975-12",24.2
"1976-01",25.0
"1976-02",27.0
"1976-03",24.0
"1976-04",20.2
"1976-05",16.7
"1976-06",14.3
"1976-07",14.1
"1976-08",14.8
"1976-09",16.3
"1976-10",17.0
"1976-11",21.3
"1976-12",25.0
"1977-01",25.3
"1977-02",26.2
"1977-03",23.6
"1977-04",18.5
"1977-05",16.4
"1977-06",13.3
"1977-07",12.8
"1977-08",16.5
"1977-09",15.4
"1977-10",21.0
"1977-11",21.4
"1977-12",23.7
"1978-01",24.0
"1978-02",24.7
"1978-03",22.6
"1978-04",19.5
"1978-05",18.4
"1978-06",14.1
"1978-07",13.3
"1978-08",13.8
"1978-09",17.1
"1978-10",20.0
"1978-11",21.7
"1978-12",21.8
"1979-01",28.0
"1979-02",26.1
"1979-03",25.2
"1979-04",19.0
"1979-05",16.5
"1979-06",15.6
"1979-07",13.9
"1979-08",14.6
"1979-09",16.9
"1979-10",19.6
"1979-11",22.2
"1979-12",26.0
"1980-01",24.3
"1980-02",24.5
"1980-03",22.9
"1980-04",21.6
"1980-05",18.5
"1980-06",13.8
"1980-07",13.8
"1980-08",16.4
"1980-09",19.2
"1980-10",20.7
"1980-11",22.9
"1980-12",26.6
"1981-01",29.5
"1981-02",27.8
"1981-03",23.2
"1981-04",22.2
"1981-05",17.1
"1981-06",14.1
"1981-07",13.8
"1981-08",14.7
"1981-09",18.7
"1981-10",20.3
"1981-11",21.7
"1981-12",23.6
"1982-01",27.4
"1982-02",26.2
"1982-03",25.4
"1982-04",20.9
"1982-05",17.1
"1982-06",13.4
"1982-07",13.0
"1982-08",17.7
"1982-09",17.0
"1982-10",19.5
"1982-11",25.4
"1982-12",23.7
"1983-01",24.2
"1983-02",28.7
"1983-03",24.3
"1983-04",18.6
"1983-05",17.2
"1983-06",13.7
"1983-07",13.2
"1983-08",15.5
"1983-09",16.8
"1983-10",18.0
"1983-11",20.8
"1983-12",24.2
"1984-01",23.9
"1984-02",25.8
"1984-03",22.3
"1984-04",19.8
"1984-05",18.2
"1984-06",14.9
"1984-07",12.8
"1984-08",15.4
"1984-09",15.6
"1984-10",20.0
"1984-11",22.7
"1984-12",23.4
"1985-01",23.8
"1985-02",24.6
"1985-03",26.1
"1985-04",22.2
"1985-05",17.9
"1985-06",14.0
"1985-07",13.4
"1985-08",14.9
"1985-09",16.1
"1985-10",20.3
"1985-11",21.6
"1985-12",23.6
"1986-01",23.1
"1986-02",25.9
"1986-03",25.3
"1986-04",19.9
"1986-05",16.6
"1986-06",13.6
"1986-07",13.2
"1986-08",15.5
"1986-09",16.7
"1986-10",18.2
"1986-11",20.9
"1986-12",22.5
"1987-01",24.4
"1987-02",25.9
"1987-03",21.5
"1987-04",21.1
"1987-05",17.0
"1987-06",14.9
"1987-07",13.8
"1987-08",15.0
"1987-09",18.5
"1987-10",19.2
"1987-11",22.5
"1987-12",22.5
"1988-01",28.1
"1988-02",24.4
"1988-03",24.9
"1988-04",21.8
"1988-05",18.3
"1988-06",15.2
"1988-07",14.8
"1988-08",15.7
"1988-09",18.6
"1988-10",21.0
"1988-11",21.7
"1988-12",24.7
"1989-01",25.7
"1989-02",26.9
"1989-03",24.5
"1989-04",21.4
"1989-05",18.0
"1989-06",14.0
"1989-07",13.5
"1989-08",13.9
"1989-09",17.2
"1989-10",19.4
"1989-11",22.2
"1989-12",24.6
"1990-01",26.0
"1990-02",25.4
"1990-03",24.7
"1990-04",20.7
"1990-05",17.5
"1990-06",14.6
"1990-07",14.8
"1990-08",14.4
"1990-09",17.5
"1990-10",20.6
"1990-11",22.9
"1990-12",26.1

Mean maximum temperature in Melbourne: degrees C. Jan 71 ? Dec 90.

