"Month","Monthly production of plastics and synthetic resins in Australia: tonnes. Jul 1964 ? Jun 1989"
"1964-07",5518
"1964-08",6627
"1964-09",6544
"1964-10",6190
"1964-11",6948
"1964-12",5095
"1965-01",6346
"1965-02",5980
"1965-03",5001
"1965-04",6023
"1965-05",6984
"1965-06",6538
"1965-07",7022
"1965-08",7148
"1965-09",6530
"1965-10",6472
"1965-11",6988
"1965-12",5328
"1966-01",5021
"1966-02",5480
"1966-03",6459
"1966-04",6550
"1966-05",7495
"1966-06",6948
"1966-07",6163
"1966-08",8220
"1966-09",7385
"1966-10",8082
"1966-11",7476
"1966-12",7510
"1967-01",7545
"1967-02",6706
"1967-03",8297
"1967-04",8483
"1967-05",9211
"1967-06",8924
"1967-07",10141
"1967-08",9949
"1967-09",8868
"1967-10",8833
"1967-11",8518
"1967-12",9438
"1968-01",9663
"1968-02",8645
"1968-03",9291
"1968-04",10546
"1968-05",9677
"1968-06",9879
"1968-07",11342
"1968-08",11525
"1968-09",9874
"1968-10",10039
"1968-11",10188
"1968-12",12930
"1969-01",11187
"1969-02",10965
"1969-03",13165
"1969-04",11094
"1969-05",10274
"1969-06",12847
"1969-07",12369
"1969-08",13734
"1969-09",13941
"1969-10",12808
"1969-11",12141
"1969-12",11709
"1970-01",11438
"1970-02",9760
"1970-03",14359
"1970-04",13220
"1970-05",13964
"1970-06",16916
"1970-07",12362
"1970-08",12988
"1970-09",17257
"1970-10",14885
"1970-11",13984
"1970-12",13598
"1971-01",10401
"1971-02",13719
"1971-03",16748
"1971-04",16465
"1971-05",17181
"1971-06",19196
"1971-07",16147
"1971-08",18462
"1971-09",17913
"1971-10",14745
"1971-11",17779
"1971-12",16056
"1972-01",16981
"1972-02",18761
"1972-03",18124
"1972-04",19592
"1972-05",20374
"1972-06",19733
"1972-07",14432
"1972-08",15734
"1972-09",21232
"1972-10",21716
"1972-11",20289
"1972-12",21727
"1973-01",23121
"1973-02",22323
"1973-03",18790
"1973-04",20496
"1973-05",25648
"1973-06",24323
"1973-07",26960
"1973-08",26398
"1973-09",27107
"1973-10",26295
"1973-11",20110
"1973-12",21439
"1974-01",26292
"1974-02",25754
"1974-03",24158
"1974-04",19959
"1974-05",27298
"1974-06",31306
"1974-07",31970
"1974-08",27334
"1974-09",29583
"1974-10",25169
"1974-11",22814
"1974-12",22215
"1975-01",14823
"1975-02",20273
"1975-03",21476
"1975-04",22119
"1975-05",20983
"1975-06",23069
"1975-07",21038
"1975-08",23621
"1975-09",24089
"1975-10",24656
"1975-11",24753
"1975-12",26615
"1976-01",24299
"1976-02",25976
"1976-03",29267
"1976-04",26996
"1976-05",28240
"1976-06",29641
"1976-07",29264
"1976-08",31284
"1976-09",35138
"1976-10",29645
"1976-11",30469
"1976-12",23524
"1977-01",27428
"1977-02",31671
"1977-03",31968
"1977-04",27813
"1977-05",33491
"1977-06",33476
"1977-07",32424
"1977-08",36741
"1977-09",31266
"1977-10",28531
"1977-11",34762
"1977-12",27650
"1978-01",33541
"1978-02",33312
"1978-03",34698
"1978-04",32966
"1978-05",34711
"1978-06",30944
"1978-07",33751
"1978-08",38438
"1978-09",34784
"1978-10",32830
"1978-11",32556
"1978-12",31707
"1979-01",36391
"1979-02",31517
"1979-03",38888
"1979-04",40961
"1979-05",38816
"1979-06",38197
"1979-07",43318
"1979-08",44671
"1979-09",39142
"1979-10",36026
"1979-11",44223
"1979-12",41873
"1980-01",41012
"1980-02",46020
"1980-03",45887
"1980-04",44063
"1980-05",44907
"1980-06",39657
"1980-07",47703
"1980-08",49489
"1980-09",50546
"1980-10",42593
"1980-11",41385
"1980-12",44740
"1981-01",48396
"1981-02",47230
"1981-03",55972
"1981-04",55125
"1981-05",52674
"1981-06",58947
"1981-07",52611
"1981-08",46712
"1981-09",60832
"1981-10",49686
"1981-11",45193
"1981-12",44786
"1982-01",49425
"1982-02",40704
"1982-03",47744
"1982-04",49783
"1982-05",45214
"1982-06",56927
"1982-07",49367
"1982-08",49248
"1982-09",39392
"1982-10",56436
"1982-11",51659
"1982-12",43676
"1983-01",44321
"1983-02",44296
"1983-03",50910
"1983-04",50362
"1983-05",37810
"1983-06",46677
"1983-07",50286
"1983-08",53305
"1983-09",49555
"1983-10",54227
"1983-11",51064
"1983-12",49780
"1984-01",43323
"1984-02",52181
"1984-03",49761
"1984-04",51081
"1984-05",56394
"1984-06",50318
"1984-07",53582
"1984-08",57966
"1984-09",58343
"1984-10",56070
"1984-11",55641
"1984-12",53406
"1985-01",46060
"1985-02",53234
"1985-03",55602
"1985-04",57162
"1985-05",70044
"1985-06",52431
"1985-07",56810
"1985-08",56748
"1985-09",60517
"1985-10",61646
"1985-11",49306
"1985-12",53612
"1986-01",50344
"1986-02",48732
"1986-03",54436
"1986-04",60599
"1986-05",51672
"1986-06",57960
"1986-07",53199
"1986-08",59513
"1986-09",57314
"1986-10",62702
"1986-11",56547
"1986-12",55088
"1987-01",43807
"1987-02",53345
"1987-03",50421
"1987-04",52397
"1987-05",54264
"1987-06",51994
"1987-07",61554
"1987-08",61929
"1987-09",60622
"1987-10",57385
"1987-11",58180
"1987-12",59325
"1988-01",49786
"1988-02",58986
"1988-03",63532
"1988-04",61028
"1988-05",59747
"1988-06",63580
"1988-07",64809
"1988-08",63665
"1988-09",62569
"1988-10",66130
"1988-11",62309
"1988-12",56369
"1989-01",52409
"1989-02",49214
"1989-03",45393
"1989-04",55901
"1989-05",55290
"1989-06",58713

Monthly production of plastics and synthetic resins in Australia: tonnes. Jul 1964 ? Jun 1989

