"Month","Scholes index for NYSE, April 1963 to July 1971"
"1963-04",0.048
"1963-05",0.024
"1963-06",?0.019
"1963-07",?0.001
"1963-08",0.053
"1963-09",?0.014
"1963-10",0.032
"1963-11",?0.009
"1963-12",0.023
"1964-01",0.025
"1964-02",0.018
"1964-03",0.017
"1964-04",0.007
"1964-05",0.019
"1964-06",0.013
"1964-07",0.024
"1964-08",?0.011
"1964-09",0.032
"1964-10",0.010
"1964-11",0.002
"1964-12",0.003
"1965-01",0.042
"1965-02",0.006
"1965-03",?0.012
"1965-04",0.036
"1965-05",?0.007
"1965-06",?0.052
"1965-07",0.019
"1965-08",0.031
"1965-09",0.034
"1965-10",0.033
"1965-11",0.002
"1965-12",0.013
"1966-01",0.011
"1966-02",?0.013
"1966-03",?0.020
"1966-04",0.024
"1966-05",?0.051
"1966-06",?0.012
"1966-07",?0.013
"1966-08",?0.076
"1966-09",?0.004
"1966-10",0.043
"1966-11",0.018
"1966-12",0.001
"1967-01",0.084
"1967-02",0.009
"1967-03",0.042
"1967-04",0.048
"1967-05",?0.040
"1967-06",0.023
"1967-07",0.056
"1967-08",?0.005
"1967-09",0.036
"1967-10",?0.023
"1967-11",0.009
"1967-12",0.031
"1968-01",?0.040
"1968-02",?0.028
"1968-03",0.011
"1968-04",0.092
"1968-05",0.026
"1968-06",0.011
"1968-07",?0.021
"1968-08",0.015
"1968-09",0.040
"1968-10",0.011
"1968-11",0.054
"1968-12",?0.035
"1969-01",?0.006
"1969-02",?0.049
"1969-03",0.034
"1969-04",0.019
"1969-05",0.002
"1969-06",?0.059
"1969-07",?0.063
"1969-08",0.050
"1969-09",?0.019
"1969-10",0.052
"1969-11",?0.031
"1969-12",?0.012
"1970-01",?0.077
"1970-02",0.055
"1970-03",?0.000
"1970-04",?0.099
"1970-05",?0.061
"1970-06",?0.046
"1970-07",0.074
"1970-08",0.052
"1970-09",0.045
"1970-10",?0.011
"1970-11",0.051
"1970-12",0.058
"1971-01",0.042
"1971-02",0.019
"1971-03",0.046
"1971-04",0.035
"1971-05",?0.032
"1971-06",0.004
"1971-07",?0.039
