"Quarter","Quarterly increase in stocks non-farm total, Australia. Sep 1959 - March 1991"
"1959Q4",177
"1960Q1",?112
"1960Q2",203
"1960Q3",690
"1960Q4",772
"1961Q1",406
"1961Q2",708
"1961Q3",35
"1961Q4",?246
"1962Q1",?423
"1962Q2",125
"1962Q3",73
"1962Q4",479
"1963Q1",203
"1963Q2",639
"1963Q3",?311
"1963Q4",280
"1964Q1",?186
"1964Q2",250
"1964Q3",505
"1964Q4",414
"1965Q1",492
"1965Q2",496
"1965Q3",574
"1965Q4",746
"1966Q1",229
"1966Q2",?43
"1966Q3",?91
"1966Q4",324
"1967Q1",?440
"1967Q2",268
"1967Q3",552
"1967Q4",716
"1968Q1",?134
"1968Q2",492
"1968Q3",211
"1968Q4",660
"1969Q1",?47
"1969Q2",147
"1969Q3",548
"1969Q4",783
"1970Q1",?114
"1970Q2",160
"1970Q3",934
"1970Q4",1143
"1971Q1",120
"1971Q2",329
"1971Q3",429
"1971Q4",483
"1972Q1",?80
"1972Q2",11
"1972Q3",171
"1972Q4",66
"1973Q1",?617
"1973Q2",?154
"1973Q3",174
"1973Q4",?374
"1974Q1",317
"1974Q2",1094
"1974Q3",1046
"1974Q4",1441
"1975Q1",900
"1975Q2",?338
"1975Q3",?178
"1975Q4",?477
"1976Q1",?272
"1976Q2",625
"1976Q3",52
"1976Q4",551
"1977Q1",316
"1977Q2",411
"1977Q3",1086
"1977Q4",404
"1978Q1",?313
"1978Q2",?50
"1978Q3",?29
"1978Q4",50
"1979Q1",?58
"1979Q2",154
"1979Q3",411
"1979Q4",464
"1980Q1",849
"1980Q2",65
"1980Q3",326
"1980Q4",780
"1981Q1",169
"1981Q2",?98
"1981Q3",27
"1981Q4",590
"1982Q1",300
"1982Q2",140
"1982Q3",?244
"1982Q4",619
"1983Q1",?724
"1983Q2",?1152
"1983Q3",?1183
"1983Q4",?140
"1984Q1",?650
"1984Q2",273
"1984Q3",198
"1984Q4",1010
"1985Q1",219
"1985Q2",87
"1985Q3",?231
"1985Q4",992
"1986Q1",267
"1986Q2",761
"1986Q3",?197
"1986Q4",?265
"1987Q1",?248
"1987Q2",167
"1987Q3",?460
"1987Q4",888
"1988Q1",18
"1988Q2",?143
"1988Q3",?414
"1988Q4",1081
"1989Q1",581
"1989Q2",904
"1989Q3",145
"1989Q4",1521
"1990Q1",245
"1990Q2",811
"1990Q3",?1256
"1990Q4",?172
"1991Q1",?869
"1991Q2",179

Quarterly increase in stocks non-farm total, Australia. Sep 1959 - March 1991

